name,cname,string,http

acquia,acquia.com,If you are an Acquia Cloud customer and expect to see your site at this address,false
amazonaws,amazonaws.com,NoSuchBucket,false
amazonaws,amazonaws.com,The specified bucket does not exist,false
azure,azurewebsites.net,404 Web Site not found,false
bitbucket,bitbucket.io,Repository not found,true
campaignmonitor,createsend.com,Double check the URL,false
campaignmonitor,createsend.com,Trying to access your account?,false
cargocollective,cargocollective.com,404 Not Found,false
cloudfront,cloudfront.net,The request could not be satisfied,false
desk,desk.com,Please try again or try Desk.com free for 14 days.,false
fastly,fastly.net,Fastly error: unknown domain:,false
fastly,fastly.net,Please check that this domain has been added to a service,false
feedpress,redirect.feedpress.me,The feed has not been found,false
fly,fly.io,404 Not Found,false
ghost,ghost.io,The thing you were looking for is no longer here,false
github,github,For root URLs (like http://example.com/) you must provide an index.html file,false
github,github,There isn't a GitHub Pages site here.,false
helpjuice,helpjuice.com,We could not find what you're looking for.,false
helpscout,helpscoutdocs.com,No settings were found for this company:,false
heroku,heroku,"There's nothing here, yet.",true
heroku,heroku,No such app,true
heroku,heroku,There's nothing here,true
instapage,pageserve.co,You've Discovered A Missing Link. Our Apologies!,false
intercom,intercom.io,Uh oh. That page doesn't exist.,false
jetbrains,myjetbrains.com,is not a registered InCloud YouTrack,false
kinsta,kinsta.com,No Site For Domain,false
launchrock,launchrock.com,It looks like you may have taken a wrong turn somewhere,false
name,cname,string,http
pantheon,pantheon.io,404 error unknown site,false
pantheon,pantheonsite.io,The gods are wise,false
pingdom,stats.pingdom.com,pingdom,false
readme,readme.io,"Project doesnt exist... yet!",false
shopify,myshopify.com,"Sorry, this shop is currently unavailable.",false
shopify,myshopify.com,Only one step left!,false
smartling,smartling.com,Domain is not configured,false
squarespace,squarespace.com,Website Expired,false
squarespace,squarespace.com,You're Almost There...,false
squarespace,squarespace.com,is not available,false
statuspage,statuspage.io,Better Status Communication,false
strikingly,strikinglydns.com,page not found,false
surge,surge.sh,project not found,false
surveygizmo-eu,privatedomain.surveygizmo.eu,data-html-name,false
teamwork,teamwork.com,Oops - We didn't find your site.,false
tictail,tictail.com,Building a brand of your own?,true
tumblr,tumblr.com,There's nothing here.,true
tumblr,tumblr.com,Whatever you were looking for doesn't currently exist at this address,true
unbounce,unbouncepages.com,The requested URL / was not found on this server.,false
uptimerobot,uptimerobot.com,page not found,false
uservoice,uservoice.com,This UserVoice subdomain is currently available!,false
wordpress,wordpress,Do you want to register *.wordpress.com?,false
wordpress,wordpress,Domain mapping upgrade for this domain not found,false
wpengine,wpengine.com,The site you were looking for couldn't be found,false
zendesk,zendesk.com,<title>Help Center Closed | Zendesk</title>,false
